Plateforme,Lien,Description,Objectif,Statut d'inscription,Comment s'inscrire,Comment travailler,Gains cumulés,Notes
Handshake AI,https://handshake.ai,Micro-travail IA très bien payé,60-100$/h,,Créer un compte + tests,Évaluer IA / prompts / red-teaming,,
DataAnnotation.tech,https://dataannotation.tech,Évaluation IA,20-40$/h,,Formulaire + test,Rédaction / comparaison IA,,
Outlier.ai,https://outlier.ai,Rédaction et prompts IA,15-25$/h,,Formulaire + CV,Rédaction / analyse IA,,
Toloka,https://toloka.ai,Micro-tâches simples,3-15$/h,,Compte + vérification,Annotation / classement,,
Remotasks,https://remotasks.com,Annotation IA,5-20$/h,,Compte + formation,Annotation / LIDAR,,
Upwork,https://upwork.com,Freelance professionnel,20-80$/h,,Créer profil + portfolio,Projets freelance,,
Fiverr,https://fiverr.com,Services rapides,10-200$ par service,,Créer un gig,Livrer commandes,,
UserTesting,https://usertesting.com,Tests utilisateurs,10-60$ par test,,Test d’échantillon,Tester sites web,,
Prolific,https://prolific.com,Études universitaires,8-20$/h,,Compte + profil,Répondre à études,,
Respondent.io,https://respondent.io,Études de marché,25-150$ par étude,,Compte + LinkedIn,Interviews / sondages,,
Etsy,https://etsy.com,Vente de produits digitaux,200-2000$/mois,,Créer boutique,Créer templates / printables,,
Amazon KDP,https://kdp.amazon.com,Publication de livres,Revenus passifs,,Compte Amazon,Créer journaux / carnets,,
Redbubble,https://redbubble.com,Designs imprimés,Revenus passifs,,Créer compte,Uploader designs,,
Teepublic,https://teepublic.com,Designs imprimés,Revenus passifs,,Créer compte,Uploader designs,,
